line_qual,Date,UTC,SCLK,L_s,Solar_dist,Orb_num,Gqual,Solar_lat,Solar_lon,Solar_zen,LTST,Profile_lat,Profile_lon,Profile_rad,Profile_alt,Limb_ang,Are_rad,Surf_lat,Surf_lon,Surf_rad,T_surf,T_surf_err,T_near_surf,T_near_surf_err,Dust_column,Dust_column_err,H2Ovap_column,H2Ovap_column_err,H2Oice_column,H2Oice_column_err,CO2ice_column,CO2ice_column_err,p_surf,p_surf_err,p_ret_alt,p_ret,p_ret_err,Rqual,P_qual,T_qual,Dust_qual,H2Ovap_qual,H2Oice_qual,CO2ice_qual,surf_qual,Obs_qual,Ref_SCLK_0,Ref_SCLK_1,Ref_SCLK_2,Ref_SCLK_3,Ref_SCLK_4,Ref_SCLK_5,Ref_SCLK_6,Ref_SCLK_7,Ref_SCLK_8,Ref_SCLK_9,Ref_Date_0,Ref_UTC_0,Ref_Date_1,Ref_UTC_1,Ref_Date_2,Ref_UTC_2,Ref_Date_3,Ref_UTC_3,Ref_Date_4,Ref_UTC_4,Ref_Date_5,Ref_UTC_5,Ref_Date_6,Ref_UTC_6,Ref_Date_7,Ref_UTC_7,Ref_Date_8,Ref_UTC_8,Ref_Date_9,Ref_UTC_9,Prof#,Orb_Prof
0,01-Sep-2015,00:10:12.466,1125533453.7,35.31032,244489568.631,42640,0,14.244,168.0184,109.2288,0.792108,-65.34789,-86.82269,3421.94,39.5,0.1108,3381.22,-63.90773,-85.70337,3383.258,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,12.0,98.1661,3.9141,0,0,3,3,9,3,9,-9999,3,1125533449.604,1125533451.652,1125533453.7,1125533455.748,1125533457.796,-9999.0,-9999.0,-9999,-9999,-9999,01-Sep-2015,00:10:08.370,01-Sep-2015,00:10:10.418,01-Sep-2015,00:10:12.466,01-Sep-2015,00:10:14.514,01-Sep-2015,00:10:16.562,,,,,,,,,,,16,17
0,01-Sep-2015,02:01:41.193,1125540142.427,35.34542,244498410.998,42641,0,14.256,140.8876,111.1754,0.806825,-66.41313,-108.65522,3421.133,38.493,0.1064,3381.0,-64.97001,-107.84129,3383.328,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,15.0,65.9063,10.3749,0,0,2,2,9,2,9,-9999,3,1125540138.332,1125540140.379,1125540142.427,1125540144.475,1125540146.523,-9999.0,-9999.0,-9999,-9999,-9999,01-Sep-2015,02:01:37.097,01-Sep-2015,02:01:39.145,01-Sep-2015,02:01:41.193,01-Sep-2015,02:01:43.241,01-Sep-2015,02:01:45.289,,,,,,,,,,,200,47
0,01-Sep-2015,02:03:56.360,1125540277.595,35.34613,244498589.384,42641,0,14.257,140.3394,88.50359,0.676421,-57.32111,-156.14886,3421.858,36.838,0.3686,3383.26,-55.99492,-155.82393,3385.874,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,10.0,141.1753,18.4849,0,0,3,3,9,3,9,-9999,2,1125540273.499,1125540275.547,1125540277.595,1125540279.643,1125540281.691,-9999.0,-9999.0,-9999,-9999,-9999,01-Sep-2015,02:03:52.264,01-Sep-2015,02:03:54.312,01-Sep-2015,02:03:56.360,01-Sep-2015,02:03:58.408,01-Sep-2015,02:04:00.456,,,,,,,,,,,204,51
0,01-Sep-2015,02:08:24.646,1125540545.881,35.34754,244498943.503,42641,0,14.257,139.25101,94.20699,0.717002,-52.39521,-142.6282,3427.746,41.506,0.1278,3384.68,-51.2732,-140.69926,3387.031,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,15.0,80.375,4.2472,0,0,3,3,9,3,9,-9999,3,1125540541.785,1125540543.833,1125540545.881,1125540547.929,1125540549.977,-9999.0,-9999.0,-9999,-9999,-9999,01-Sep-2015,02:08:20.550,01-Sep-2015,02:08:22.598,01-Sep-2015,02:08:24.646,01-Sep-2015,02:08:26.694,01-Sep-2015,02:08:28.742,,,,,,,,,,,211,58
0,01-Sep-2015,03:52:39.200,1125546800.435,35.38037,244507204.911,42642,0,14.269,113.8814,97.6038,0.708427,-67.56884,-171.0847,3418.408,36.328,0.362,3380.8,-66.18992,-171.29837,3382.85,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,13.0,90.2211,3.633,0,0,2,2,9,2,9,-9999,2,1125546796.339,1125546798.387,1125546800.435,1125546802.483,1125546804.531,-9999.0,-9999.0,-9999,-9999,-9999,01-Sep-2015,03:52:35.104,01-Sep-2015,03:52:37.152,01-Sep-2015,03:52:39.200,01-Sep-2015,03:52:41.248,01-Sep-2015,03:52:43.296,,,,,,,,,,,383,46
0,01-Sep-2015,03:55:53.760,1125546994.994,35.38139,244507461.047,42642,0,14.269,113.0924,106.16801,0.77136,-63.41286,-149.21788,3421.617,39.157,0.112,3381.68,-62.07024,-147.78491,3383.507,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,11.0,125.6026,13.6282,0,0,3,3,9,3,9,-9999,3,1125546990.898,1125546992.946,1125546994.994,1125546997.042,1125546999.09,-9999.0,-9999.0,-9999,-9999,-9999,01-Sep-2015,03:55:49.663,01-Sep-2015,03:55:51.711,01-Sep-2015,03:55:53.759,01-Sep-2015,03:55:55.807,01-Sep-2015,03:55:57.855,,,,,,,,,,,387,50
0,01-Sep-2015,04:00:24.092,1125547265.327,35.38281,244507818.804,42642,0,14.27,111.9956,94.8616,0.719081,-53.09482,-169.13524,3427.19,40.75,0.1268,3384.44,-51.96567,-167.21878,3386.753,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,21.0,39.5953,0.697,0,0,3,3,9,3,9,-9999,3,1125547261.231,1125547263.279,1125547265.327,1125547267.375,1125547269.423,-9999.0,-9999.0,-9999,-9999,-9999,01-Sep-2015,04:00:19.997,01-Sep-2015,04:00:22.044,01-Sep-2015,04:00:24.092,01-Sep-2015,04:00:26.140,01-Sep-2015,04:00:28.188,,,,,,,,,,,395,1
0,01-Sep-2015,05:45:03.219,1125553544.457,35.41576,244516104.805,42643,0,14.281,86.5264,97.2244,0.706619,-67.10525,160.90915,3419.057,36.777,0.3606,3381.0,-65.72334,160.73727,3383.365,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,13.0,80.4225,1.949,0,0,2,2,9,2,9,-9999,2,1125553540.361,1125553542.409,1125553544.457,1125553546.505,1125553548.553,-9999.0,-9999.0,-9999,-9999,-9999,01-Sep-2015,05:44:59.125,01-Sep-2015,05:45:01.174,01-Sep-2015,05:45:03.221,01-Sep-2015,05:45:05.270,01-Sep-2015,05:45:07.316,,,,,,,,,,,528,45
0,01-Sep-2015,05:48:17.779,1125553739.016,35.41678,244516362.019,42643,0,14.282,85.7374,105.79781,0.76901,-63.07705,-177.41907,3422.255,38.615,0.1126,3381.84,-61.7681,-175.98186,3384.735,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,13.0,84.8433,1.7942,0,0,2,2,9,2,9,-9999,3,1125553734.92,1125553736.968,1125553739.016,1125553741.063,1125553743.111,-9999.0,-9999.0,-9999,-9999,-9999,01-Sep-2015,05:48:13.684,01-Sep-2015,05:48:15.732,01-Sep-2015,05:48:17.779,01-Sep-2015,05:48:19.828,01-Sep-2015,05:48:21.877,,,,,,,,,,,532,49
0,01-Sep-2015,05:52:48.115,1125554009.35,35.4182,244516718.169,42643,0,14.282,84.6406,94.5126,0.717997,-52.64881,163.11957,3427.859,41.159,0.1282,3384.7,-51.5295,165.03017,3387.461,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,11.0,124.121,1.6135,0,0,2,2,9,2,9,-9999,3,1125554005.254,1125554007.302,1125554009.35,1125554011.398,1125554013.446,-9999.0,-9999.0,-9999,-9999,-9999,01-Sep-2015,05:52:44.020,01-Sep-2015,05:52:46.066,01-Sep-2015,05:52:48.115,01-Sep-2015,05:52:50.162,01-Sep-2015,05:52:52.211,,,,,,,,,,,540,57
