line_qual,Pres,T,T_err,Dust,Dust_err,H2Ovap,H2Ovap_err,H2Oice,H2Oice_err,CO2ice,CO2ice_err,Alt,Lat,Lon,Prof#
0,1878.9,,,,,,,,,,,,,,655
0,1658.2,,,,,,,,,,,,,,655
0,1463.3,,,,,,,,,,,,,,655
0,1291.4,,,,,,,,,,,,,,655
0,1139.6,,,,,,,,,,,,,,655
0,1005.7,,,,,,,,,,,,,,655
0,887.54,,,,,,,,,,,,,,655
0,783.26,,,,,,,,,,,,,,655
0,691.22,,,,,,,,,,,0.168,59.051,-130.889,655
0,610.0,,,,,,,,,,,1.526,59.095,-130.834,655
0,538.32,,,,,,,,,,,2.877,59.138999999999996,-130.779,655
0,475.07,,,,,,,,,,,4.215,59.183,-130.724,655
0,419.25,,,,,,,,,,,5.537000000000001,59.226000000000006,-130.67,655
0,369.98,,,,,,,,,,,6.837000000000001,59.269,-130.616,655
0,326.51,,,,,,,,,,,8.118,59.31100000000001,-130.563,655
0,288.14,,,,,,,,,,,9.381,59.352,-130.51,655
0,254.29,192.51,1.459,0.0016696999999999999,0.0001104,,,0.00052422,1.0264e-05,,,10.624,59.393,-130.458,655
0,224.41,189.968,0.49700000000000005,0.0013103,4.4412e-05,,,0.00066347,1.5819000000000002e-05,,,11.85,59.433,-130.407,655
0,198.04,187.91400000000002,0.335,0.00099369,2.6577e-05,,,0.0008125,1.908e-05,,,13.062999999999999,59.473,-130.355,655
0,174.77,186.372,0.299,0.00074095,2.1893000000000002e-05,,,0.0008668,1.9875999999999997e-05,,,14.265999999999998,59.513000000000005,-130.304,655
0,154.23,185.282,0.38,0.00059878,2.5920999999999998e-05,,,0.00075071,1.9350999999999998e-05,,,15.460999999999999,59.552,-130.253,655
0,136.11,184.26,0.42100000000000004,0.00062319,3.1472e-05,,,0.00047643,1.4316e-05,,,16.65,59.592,-130.202,655
0,120.12,182.731,0.426,0.0005926,3.2816e-05,,,0.00028202,6.7911e-06,,,17.831,59.631,-130.15200000000002,655
0,106.0,180.512,0.474,0.0003993,3.2813e-05,,,0.00018837,5.2716e-06,,,19.000999999999998,59.67,-130.101,655
0,93.54700000000001,177.635,0.637,0.00015524,3.3215e-05,,,0.00013024,7.1751e-06,,,20.156,59.708,-130.05100000000002,655
0,82.555,174.392,0.669,2.6788000000000002e-05,2.5174e-05,,,7.784899999999999e-05,1.1515e-05,,,21.291999999999998,59.746,-130.002,655
0,72.854,171.204,0.5670000000000001,2.8334e-06,1.1476e-05,,,4.0291e-05,1.109e-05,,,22.408,59.783,-129.953,655
0,64.294,168.342,0.506,3.8641999999999994e-07,3.695e-06,,,2.3475e-05,9.699500000000001e-06,,,23.506,59.82,-129.905,655
0,56.739,165.947,0.513,8.0317e-08,1.1302e-06,,,2.2057e-05,9.0229e-06,,,24.586,59.856,-129.857,655
0,50.071999999999996,163.968,0.494,1.7762e-08,1.0217e-06,,,4.6396999999999996e-05,1.056e-05,,,25.651999999999997,59.891999999999996,-129.81,655
0,44.188,162.28799999999998,0.292,2.7687e-09,1.0262e-06,,,0.0001167,1.2066e-05,,,26.708000000000002,59.927,-129.763,655
0,38.996,160.79399999999998,0.239,1e-09,1.0293e-06,,,0.00020687,1.1925e-05,,,27.754,59.961999999999996,-129.716,655
0,34.414,159.43200000000002,0.235,1e-09,1.0293e-06,,,0.00023421,1.1653e-05,,,28.791999999999998,59.997,-129.67,655
0,30.37,158.191,0.28600000000000003,1e-09,1.0293e-06,,,0.0001428,1.2044e-05,,,29.822,60.032,-129.624,655
0,26.802,157.131,0.38,1e-09,1.0293e-06,,,3.0393000000000002e-05,1.3052e-05,,,30.845,60.066,-129.578,655
0,23.651999999999997,156.379,0.43799999999999994,1e-09,1.0293e-06,,,2.7989e-06,1.1765999999999999e-05,,,31.862,60.1,-129.532,655
0,20.873,156.053,0.46,1e-09,1.0293e-06,,,5.3893e-07,9.3246e-06,,,32.876999999999995,60.135,-129.485,655
0,18.42,156.214,0.47600000000000003,,,,,,,,,33.891999999999996,60.169,-129.439,655
0,16.256,156.846,0.52,,,,,,,,,34.91,60.203,-129.392,655
0,14.345999999999998,157.796,0.5429999999999999,,,,,,,,,35.934,60.238,-129.345,655
0,12.66,158.83700000000002,0.513,,,,,,,,,36.965,60.273,-129.298,655
0,11.173,159.805,0.499,,,,,,,,,38.003,60.308,-129.25,655
0,9.8597,160.624,0.545,,,,,,,,,39.048,60.343999999999994,-129.201,655
0,8.7012,161.286,0.518,,,,,,,,,40.098,60.38,-129.15200000000002,655
0,7.6788,161.785,0.405,,,,,,,,,41.152,60.416000000000004,-129.10299999999998,655
0,6.7765,162.096,0.344,,,,,,,,,42.21,60.452,-129.053,655
0,5.9802,162.197,0.34600000000000003,,,,,,,,,43.27,60.488,-129.003,655
0,5.2775,162.088,0.44,,,,,,,,,44.33,60.523999999999994,-128.952,655
0,4.6574,161.779,0.41700000000000004,,,,,,,,,45.39,60.56100000000001,-128.90200000000002,655
0,4.1101,161.25799999999998,0.382,,,,,,,,,46.448,60.597,-128.851,655
0,3.6272,160.514,0.381,,,,,,,,,47.501999999999995,60.633,-128.8,655
0,3.201,159.547,0.47,,,,,,,,,48.551,60.669,-128.75,655
0,2.8249,158.451,0.584,,,,,,,,,49.593999999999994,60.705,-128.69899999999998,655
0,2.4929,157.365,0.578,,,,,,,,,50.63,60.74100000000001,-128.649,655
0,2.2,156.382,0.596,,,,,,,,,51.661,60.777,-128.59799999999998,655
0,1.9415,155.54399999999998,0.687,,,,,,,,,52.68600000000001,60.812,-128.548,655
0,1.7134,154.875,0.8959999999999999,,,,,,,,,53.706,60.848,-128.498,655
0,1.512,154.433,0.968,,,,,,,,,54.724,60.883,-128.447,655
0,1.3344,154.317,1.003,,,,,,,,,55.74,60.918,-128.39700000000002,655
0,1.1776,154.582,1.091,,,,,,,,,56.758,60.95399999999999,-128.346,655
0,1.0392,155.215,1.2770000000000001,,,,,,,,,57.778999999999996,60.989,-128.295,655
