line_qual,Date,UTC,SCLK,L_s,Solar_dist,Orb_num,Gqual,Solar_lat,Solar_lon,Solar_zen,LTST,Profile_lat,Profile_lon,Profile_rad,Profile_alt,Limb_ang,Are_rad,Surf_lat,Surf_lon,Surf_rad,T_surf,T_surf_err,T_near_surf,T_near_surf_err,Dust_column,Dust_column_err,H2Ovap_column,H2Ovap_column_err,H2Oice_column,H2Oice_column_err,CO2ice_column,CO2ice_column_err,p_surf,p_surf_err,p_ret_alt,p_ret,p_ret_err,Rqual,P_qual,T_qual,Dust_qual,H2Ovap_qual,H2Oice_qual,CO2ice_qual,surf_qual,Obs_qual,Ref_SCLK_0,Ref_SCLK_1,Ref_SCLK_2,Ref_SCLK_3,Ref_SCLK_4,Ref_SCLK_5,Ref_SCLK_6,Ref_SCLK_7,Ref_SCLK_8,Ref_SCLK_9,Ref_Date_0,Ref_UTC_0,Ref_Date_1,Ref_UTC_1,Ref_Date_2,Ref_UTC_2,Ref_Date_3,Ref_UTC_3,Ref_Date_4,Ref_UTC_4,Ref_Date_5,Ref_UTC_5,Ref_Date_6,Ref_UTC_6,Ref_Date_7,Ref_UTC_7,Ref_Date_8,Ref_UTC_8,Ref_Date_9,Ref_UTC_9,Prof#,Orb_Prof
0,01-Jul-2016,01:14:45.096,1151802928.644,177.97207,219996586.276,46542,0,0.863,-173.36459,54.632,0.634202,30.81467,-125.05176,3432.401,39.861,-1.4432,3391.9,30.95598,-124.88899,3392.795,256.08,0.031,229.271,0.453,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,21.0,69.9945,0.4663,0,0,0,2,9,2,9,-9999,10,1151802924.549,1151802926.596,1151802928.644,1151802930.692,1151802932.74,1151803127.299,1151803129.347,-9999,-9999,-9999,01-Jul-2016,01:14:41.000,01-Jul-2016,01:14:43.048,01-Jul-2016,01:14:45.096,01-Jul-2016,01:14:47.144,01-Jul-2016,01:14:49.192,01-Jul-2016,01:18:03.751,01-Jul-2016,01:18:05.799,,,,,,,134,108
0,01-Jul-2016,01:15:15.816,1151802959.364,177.97227,219996519.072,46542,0,0.863,-173.4894,55.3174,0.634096,32.55426,-125.21494,3430.82,38.66,-2.1074,3391.4,32.57798,-125.11697,3392.425,257.537,0.031,233.767,1.232,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,21.0,70.6443,0.3027,0,0,0,2,9,2,9,-9999,10,1151802955.268,1151802957.316,1151802959.364,1151802961.412,1151802963.46,1151803158.019,1151803160.067,-9999,-9999,-9999,01-Jul-2016,01:15:11.720,01-Jul-2016,01:15:13.768,01-Jul-2016,01:15:15.816,01-Jul-2016,01:15:17.864,01-Jul-2016,01:15:19.912,01-Jul-2016,01:18:34.471,01-Jul-2016,01:18:36.519,,,,,,,135,109
0,01-Jul-2016,01:15:46.536,1151802990.084,177.97247,219996451.869,46542,0,0.863,-173.61378,55.9996,0.634025,34.19246,-125.36496,3431.559,39.879,-2.7702,3390.9,34.25798,-125.35699,3391.966,257.592,0.031,233.861,1.704,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,21.0,74.3367,1.1949,0,0,0,2,9,2,9,-9999,10,1151802985.988,1151802988.036,1151802990.084,1151802992.132,1151802994.18,1151803188.739,1151803190.787,-9999,-9999,-9999,01-Jul-2016,01:15:42.440,01-Jul-2016,01:15:44.488,01-Jul-2016,01:15:46.536,01-Jul-2016,01:15:48.584,01-Jul-2016,01:15:50.632,01-Jul-2016,01:19:05.191,01-Jul-2016,01:19:07.239,,,,,,,136,110
0,01-Jul-2016,01:16:17.255,1151803020.804,177.97266,219996386.8,46542,0,0.863,-173.73839,56.7268,0.633857,35.92605,-125.54994,3430.049,39.009,-3.2784,3390.36,35.87748,-125.5935,3391.416,257.823,0.031,219.076,0.939,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,0,9,0,2,9,2,9,-9999,10,1151803016.708,1151803018.756,1151803020.804,1151803022.852,1151803024.9,1151803221.507,1151803219.459,-9999,-9999,-9999,01-Jul-2016,01:16:13.159,01-Jul-2016,01:16:15.207,01-Jul-2016,01:16:17.255,01-Jul-2016,01:16:19.303,01-Jul-2016,01:16:21.351,01-Jul-2016,01:19:37.958,01-Jul-2016,01:19:35.910,,,,,,,137,111
0,01-Jul-2016,01:16:47.975,1151803051.524,177.97286,219996319.597,46542,0,0.863,-173.86299,57.39339,0.633497,37.57084,-125.80415,3430.413,39.993,-3.3052,3389.84,37.55498,-125.84251,3390.783,256.224,0.03,231.989,0.817,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,24.0,51.7878,0.3514,0,0,0,2,9,2,9,-9999,10,1151803047.428,1151803049.476,1151803051.524,1151803053.572,1151803055.62,1151803252.227,1151803250.179,-9999,-9999,-9999,01-Jul-2016,01:16:43.879,01-Jul-2016,01:16:45.927,01-Jul-2016,01:16:47.975,01-Jul-2016,01:16:50.023,01-Jul-2016,01:16:52.071,01-Jul-2016,01:20:08.678,01-Jul-2016,01:20:06.630,,,,,,,138,112
0,01-Jul-2016,01:17:18.695,1151803082.244,177.97306,219996252.393,46542,0,0.863,-173.98759,58.085,0.633127,39.21143,-126.06194,3430.876,41.296,-3.3408,3389.3,39.23298,-126.09747,3390.051,254.249,0.031,234.246,0.525,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,24.0,54.208,0.2221,0,0,0,2,9,2,9,-9999,10,1151803078.148,1151803080.196,1151803082.244,1151803084.292,1151803086.34,1151803280.899,1151803282.947,-9999,-9999,-9999,01-Jul-2016,01:17:14.599,01-Jul-2016,01:17:16.647,01-Jul-2016,01:17:18.695,01-Jul-2016,01:17:20.743,01-Jul-2016,01:17:22.791,01-Jul-2016,01:20:37.350,01-Jul-2016,01:20:39.398,,,,,,,139,113
0,01-Jul-2016,01:17:49.415,1151803112.964,177.97326,219996187.325,46542,0,0.863,-174.11218,58.8422,0.632703,40.95162,-126.33913,3429.014,40.394,-3.3626,3388.72,40.85047,-126.34998,3389.194,252.996,0.031,226.834,0.26,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,27.0,34.6071,0.1883,0,0,0,2,9,2,9,-9999,10,1151803108.868,1151803110.916,1151803112.964,1151803115.012,1151803117.06,1151803313.667,1151803311.619,-9999,-9999,-9999,01-Jul-2016,01:17:45.319,01-Jul-2016,01:17:47.367,01-Jul-2016,01:17:49.415,01-Jul-2016,01:17:51.463,01-Jul-2016,01:17:53.511,01-Jul-2016,01:21:10.118,01-Jul-2016,01:21:08.070,,,,,,,140,114
0,01-Jul-2016,01:18:20.135,1151803143.683,177.97346,219996120.122,46542,0,0.863,-174.23659,59.58099,0.632286,42.59321,-126.61353,3429.425,41.585,-3.3664,3388.16,42.50548,-126.69998,3388.304,251.462,0.031,223.217,0.301,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,28.0,33.641,0.5204,0,0,0,2,9,2,9,-9999,10,1151803139.587,1151803141.635,1151803143.683,1151803145.731,1151803147.779,1151803344.386,1151803342.338,-9999,-9999,-9999,01-Jul-2016,01:18:16.039,01-Jul-2016,01:18:18.087,01-Jul-2016,01:18:20.135,01-Jul-2016,01:18:22.183,01-Jul-2016,01:18:24.231,01-Jul-2016,01:21:40.838,01-Jul-2016,01:21:38.790,,,,,,,141,115
0,01-Jul-2016,01:18:50.855,1151803174.403,177.97366,219996052.919,46542,0,0.862,-174.36139,60.3848,0.631803,44.333,-126.91232,3427.534,40.954,-3.3624,3387.56,44.10447,-127.05248,3387.289,245.556,0.031,218.443,0.178,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,23.0,54.7836,0.7218,0,0,0,2,9,2,9,-9999,10,1151803170.307,1151803172.355,1151803174.403,1151803176.451,1151803178.499,1151803375.106,1151803373.058,-9999,-9999,-9999,01-Jul-2016,01:18:46.759,01-Jul-2016,01:18:48.807,01-Jul-2016,01:18:50.855,01-Jul-2016,01:18:52.903,01-Jul-2016,01:18:54.951,01-Jul-2016,01:22:11.558,01-Jul-2016,01:22:09.510,,,,,,,142,116
0,01-Jul-2016,01:19:21.574,1151803205.123,177.97386,219995985.716,46542,0,0.862,-174.48599,61.1668,0.631333,45.97318,-127.20612,3427.948,42.388,-3.3462,3387.0,45.76197,-127.42898,3386.162,240.456,0.032,217.848,0.28,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,25.0,46.1253,0.466,0,0,0,2,9,2,9,-9999,10,1151803201.027,1151803203.075,1151803205.123,1151803207.171,1151803209.219,1151803405.826,1151803403.778,-9999,-9999,-9999,01-Jul-2016,01:19:17.478,01-Jul-2016,01:19:19.526,01-Jul-2016,01:19:21.574,01-Jul-2016,01:19:23.622,01-Jul-2016,01:19:25.670,01-Jul-2016,01:22:42.277,01-Jul-2016,01:22:40.229,,,,,,,143,117
